127.0.0.1 - - [25/Aug/2021:00:59:03 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Aug/2021:00:59:07 +0800] "GET /smp/blartsmp.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [25/Aug/2021:00:59:07 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Aug/2021:00:59:08 +0800] "GET /smp/blartsmp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2021:00:59:41 +0800] "GET /smp/denglu.html HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [25/Aug/2021:00:59:41 +0800] "GET /smp/Login.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [25/Aug/2021:00:59:41 +0800] "GET /smp/img/xiong.jpg HTTP/1.1" 200 101653
0:0:0:0:0:0:0:1 - - [25/Aug/2021:00:59:58 +0800] "POST /smp/jsp/yanzheng.jsp HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:00:37 +0800] "POST /smp/jsp/yanzheng.jsp HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:00:51 +0800] "POST /smp/jsp/yanzheng.jsp HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:01:06 +0800] "GET /smp/dianyuan.html HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:01:06 +0800] "GET /smp/css/datouwang.css HTTP/1.1" 200 17626
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:01:06 +0800] "GET /smp/img/15.png HTTP/1.1" 200 8651
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:01:06 +0800] "GET /smp/img/17.png HTTP/1.1" 200 8510
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:01:06 +0800] "GET /smp/Login.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:01:18 +0800] "GET /smp/kongtiao.html HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:01:18 +0800] "GET /smp/css/newkongtiao.css HTTP/1.1" 200 21116
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:01:18 +0800] "GET /smp/Login.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:01:45 +0800] "GET /smp/jsp/yanzheng.jsp HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:02:26 +0800] "GET /smp/Login.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:02:34 +0800] "POST /smp/jsp/yanzheng.jsp HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [25/Aug/2021:01:05:02 +0800] "POST /smp/jsp/yanzheng.jsp HTTP/1.1" 200 923
